Time,A,Gi,Gp,B,k1,k2,k3,k4,k5,GE,b,compartment,The_uptake_of_glutamate_and_Consumption_of_glutamate_and_ammonia,Diffusion_of_glutamate,Consumption_of_glutamate_to_produce_ammonia,Diffusion_of_ammonia,The_synthesis_of_biomass_from_ammonia_and_glutamate
0.0,1.0,1.0,10.0,10000000000.0,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,49.78,20.0,2.3,4.0,100000000000.0
0.1,1.047416616643297,2.899118944164166,13.547779585943111,11229607316.096981,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,64.03618046255369,27.095559171886222,6.667973571577582,4.189666466573188,159350030750.28305
0.2,1.464269992242883,5.009264498061289,16.160480945768416,13531206513.708942,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,40.68189442236945,32.32096189153683,11.521308345540964,5.857079968971532,320193097996.8117
0.30000000000000004,2.122381297867219,6.780830007824229,14.387487812964645,17882652692.024616,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-13.964796063251498,28.77497562592929,15.595909017995726,8.489525191468877,546059944729.46606
0.4,2.7979799702006076,7.471195828313718,8.892877637427008,23838979046.98809,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-40.474099229443254,17.785755274854015,17.18375040512155,11.19191988080243,593163705757.7529
0.5,3.261990247372922,7.040267699825648,4.032749604727494,28818217460.407722,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-28.27178593041669,8.065499209454988,16.19261570959899,13.047960989491688,379097595428.50494
0.6000000000000001,3.4254185397961088,6.052393058436275,1.5482448380172775,31459951768.6727,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-12.195088387984853,3.096489676034555,13.92050403440343,13.701674159184435,166844285774.8071
0.7000000000000001,3.3343076927285917,4.981779468867032,0.5852784192622121,32533998007.97243,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-4.3274495862133096,1.1705568385244243,11.458092778394173,13.337230770914367,63490042967.33225
0.8,3.080392891123015,4.025904026349617,0.2434180354697474,32942223488.4737,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-1.4722123174122772,0.4868360709394948,9.259579260604118,12.32157156449206,24700842971.110146
0.9,2.7449560837175757,3.2288739592229083,0.11871422936531031,33108202453.408485,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.5069414850201472,0.23742845873062063,7.426410106212688,10.979824334870303,10788815851.896029
1.0,2.3844515274683378,2.581476698947599,0.06975834853491389,33185740528.317924,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.16460131756219876,0.13951669706982778,5.9373964075794765,9.537806109873351,5519963448.892843
1.1,2.0333154792610904,2.0613956677883465,0.0495538691555456,33228572112.64281,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.024706173638925022,0.0991077383110912,4.741210035913197,8.133261917044361,3348066041.2884865
1.2000000000000002,1.7102607430002006,1.6458781025198954,0.04211086063822264,33256648811.359535,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.05110650108107817,0.08422172127644528,3.785519635795759,6.841042972000802,2395162198.5294776
1.3,1.4237951507359152,1.3151309608623885,0.042067999865470884,33278270696.96267,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.11492496730634194,0.08413599973094177,3.0248012099834933,5.695180602943661,1993242430.1908827
1.4000000000000001,1.176228864262453,1.052919651516978,0.04841422188903636,33297513009.300385,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.19578648487405015,0.09682844377807272,2.4217151984890495,4.704915457049812,1896167009.3660538
1.5,0.9663819738016164,0.8464254946505961,0.06289160695285684,33316937941.129436,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.3242801653693792,0.12578321390571368,1.946778637696371,3.8655278952064656,2024914040.834411
1.6,0.7913610696553001,0.6860538915623635,0.09045698500748829,33338780147.262268,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.550320968916372,0.18091397001497658,1.577923950593436,3.1654442786212003,2386527785.9152865
1.7000000000000002,0.6477376943983798,0.5655249724667076,0.1415462341820568,33365695163.228386,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.9688825886099294,0.2830924683641136,1.3007074366734275,2.590950777593519,3059128134.912359
1.8,0.5324119776161275,0.4825896752047456,0.23719474803602084,33401565576.083893,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,1.7685753984395325,0.47438949607204167,1.1099562529709148,2.12964791046451,4218127560.343747
1.9000000000000001,0.44343773942814063,0.44096316645337424,0.4195692600377347,33452838475.36964,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,3.3262527803830824,0.8391385200754694,1.0142152828427606,1.7737509577125625,6223995745.061964
2.0,0.38115456575918394,0.45459139723257463,0.7725884418918022,33531411356.88726,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,6.379943261740821,1.5451768837836044,1.0455602136349216,1.5246182630367358,9874182883.220087
2.1,0.3501468456824036,0.5561462397268787,1.458732570516019,33662192405.168865,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,12.285769135983692,2.917465141032038,1.279136351371821,1.4005873827296145,17193658490.165657
2.2,0.3627866523148354,0.8118743799073855,2.7698707598048595,33905963523.684944,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,23.142909325714268,5.539741519609719,1.8673110737869867,1.4511466092593417,34071158134.787605
2.3000000000000003,0.44495472007753295,1.340333827357836,5.13687983976504,34432579812.82911,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,40.68275265787983,10.27375967953008,3.0827678029230228,1.7798188803101318,78701822224.17052
2.4000000000000004,0.641995969821029,2.3093839807463175,8.868985698263657,35739418880.43592,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,60.97801371092013,17.737971396527314,5.31158315571653,2.567983879284116,203495000079.8471
2.5,1.0133877669188276,3.8284292071949757,13.205238618823575,39150047369.38704,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,64.79869796380132,26.41047723764715,8.805387176548443,4.05355106767531,523907001736.599
2.6,1.5897749554245888,5.655817795037328,15.288146966258502,47274852649.6259,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,28.316594761621587,30.576293932517004,13.008380928585854,6.359099821698355,1149001733415.9048
2.7,2.291649734684174,7.039426310155463,12.528446866994251,62267158194.08523,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-23.399926376419472,25.056893733988503,16.190680513357563,9.166598938736696,1787740668870.911
2.8000000000000003,2.9187702164997997,7.335817273037884,7.148354476073018,80393396293.10597,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-37.110554646169774,14.296708952146036,16.872379727987134,11.675080865999199,1677360310586.8237
2.9000000000000004,3.2928222193990946,6.69648498314594,3.1125054092775604,93705666244.50806,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-22.32898234269106,6.225010818555121,15.40191546123566,13.171288877596378,960382529984.1428
3.0,3.3755338334298615,5.674278200811641,1.2022463493709712,100251736530.94855,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-9.151895131787185,2.4044926987419424,13.050839861866773,13.502135333719446,406843925879.2622
3.1,3.2327878765535782,4.644861464879821,0.4737029754501133,102881024016.76672,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-3.247601369772897,0.9474059509002266,10.683181369223588,12.931151506214313,157550069732.34317
3.2,2.9542879984322274,3.7467698165171983,0.20947838010062614,103913123782.90361,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-1.1269363699159758,0.4189567602012523,8.617570577989556,11.81715199372891,64307620114.11022
3.3000000000000003,2.613087977969265,3.0037218250048747,0.10946211918019053,104356547332.56451,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.39092932173181394,0.21892423836038105,6.908560197511211,10.45235191187706,29849536070.345757
3.4000000000000004,2.258115731682415,2.4018339902107715,0.06890211672750839,104577248148.30624,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.1164454990362741,0.13780423345501677,5.524218177484774,9.03246292672966,16271064623.21164
3.5,1.918451319039703,1.9188697112356023,0.052185337749786884,104707112061.92996,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.005751242177071125,0.10437067549957377,4.413400335841885,7.673805276158812,10482755669.545748
3.6,1.609377426053516,1.5333177183546263,0.04695906928646131,104797374459.70323,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.08209852401824608,0.09391813857292262,3.52663075221564,6.437509704214064,7920047538.034071
3.7,1.3373602047210624,1.22677527186857,0.04929813931336391,104870597699.17436,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.15726061653496887,0.09859627862672782,2.821583125297711,5.34944081888425,6914052404.742064
3.8000000000000003,1.1035970971455307,0.984312311277448,0.05917513653959389,104938759795.21927,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.2620828561400289,0.11835027307918777,2.26391831593813,4.414388388582123,6853079112.631203
3.9000000000000004,0.9064010234383422,0.7943410163301278,0.0796153286583378,105010250878.5661,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.43582024645071993,0.1592306573166756,1.8269843375592938,3.6256040937533687,7577898353.024171
4.0,0.7427746179743207,0.6485534335678202,0.11784670722140955,105093278470.44168,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.7473006792613026,0.2356934144428191,1.4916728972059865,2.9710984718972826,9199187003.268383
4.1000000000000005,0.6094899915509011,0.5422713907633039,0.18869064711436476,105198451706.0928,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,1.3298356481894593,0.3773812942287295,1.2472241987555988,2.4379599662036044,12098354346.672146
4.2,0.5039563987664014,0.47565414078080864,0.32183265180913906,105342118732.2234,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,2.4481909869751046,0.6436653036182781,1.0940045237958598,2.0158255950656057,17085398650.788282
4.3,0.425181732099891,0.4565673802073496,0.5764012750123378,105552597860.73506,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,4.625353254356852,1.1528025500246757,1.050104974476904,1.700726928399564,25868333794.256187
4.4,0.37524616835043606,0.5065633460819104,1.068354045291617,105884846545.55908,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,8.855795339239192,2.136708090583234,1.165095695988394,1.5009846734017442,42448786233.50314
4.5,0.36191765559949546,0.6720945639453186,2.0147148547928584,106461532662.6774,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,16.842686629736022,4.029429709585717,1.5458174970742327,1.4476706223979818,77627584517.55763
4.6000000000000005,0.4031729387958374,1.0418218263465027,3.775493673678676,107600930336.9592,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,30.736986515012177,7.550987347357352,2.3961902005969558,1.6126917551833495,163787648406.2703
4.7,0.5334493508934612,1.7597609622463133,6.773975513183501,110214785367.79175,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,50.47098426997755,13.547951026367002,4.04745021316652,2.133797403573845,398269155023.93726
4.800000000000001,0.8062193864562545,2.9851210113008597,10.951974415441782,116871143771.37173,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,65.76701434528968,21.903948830883564,6.865778325991977,3.224877545825018,1031936447882.2864
4.9,1.2739944108912518,4.69677779242118,14.574621255624898,133602496410.16145,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,51.387631356541036,29.149242511249795,10.802588922568713,5.095977643565007,2480729285650.846
5.0,1.9227037515132497,6.3933501267850845,14.37996843445419,169232415329.76086,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,1.2606935148141076,28.75993686890838,14.704705291605693,7.690815006052999,4679008770669.504
5.1000000000000005,2.607266940234777,7.271782708833844,9.874725896747261,223471285143.3274,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-34.96161301791915,19.749451793494522,16.72510023031784,10.429067760939107,5753502070662.37
5.2,3.119512031807364,7.057820192072245,4.89815999369512,274950570493.583,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-30.640017465263426,9.79631998739024,16.232986441766162,12.478048127229457,4201208707979.118
5.300000000000001,3.346210348143478,6.18103023516775,1.994218954712615,305627425825.0605,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-14.870720927896816,3.98843790942523,14.216369540885823,13.384841392573913,2039475071610.0256
5.4,3.30917872262966,5.136991389351378,0.7744513945103245,319096233903.7899,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-5.623018372272387,1.548902789020649,11.815080195508168,13.23671489051864,817779214442.9142
5.5,3.0922876759037212,4.171365485209603,0.3229842672562946,324406787483.79974,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-1.9737971276212014,0.6459685345125892,9.594140615982086,12.369150703614885,324004610380.57416
5.6000000000000005,2.7785179026004667,3.354110563719157,0.15554131105331376,326584239345.66125,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.6918702869786157,0.3110826221066275,7.71445429655406,11.114071610401867,141141320698.30258
5.7,2.428547457587107,2.6857553836795516,0.08950115498752635,327592956462.7777,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.23210348173735784,0.1790023099750527,6.177237382462968,9.714189830348428,71204885097.17973
5.800000000000001,2.0807102536291784,2.147014874512208,0.06204021169441897,328140727157.7267,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.04651553863724456,0.12408042338883794,4.9381342113780775,8.322841014516714,42358933257.81521
5.9,1.7566274301293219,1.7158023519014076,0.0514206706484045,328492452203.5001,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.049768762080146356,0.102841341296809,3.946345409373237,7.0265097205172875,29671724766.76737
6.0,1.4667905858421366,1.3722174965978196,0.0501625450359821,328757628009.9331,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.1256075091303221,0.1003250900719642,3.156100242174985,5.8671623433685465,24189311928.116684
6.1000000000000005,1.2147928003146715,1.0997062060380767,0.05649406526348284,328988922146.3312,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.2169145089423702,0.11298813052696569,2.529324273887576,4.859171201258686,22578043793.90264
6.2,1.0002509352249254,0.8851212374935007,0.0719923368694417,329218212242.182,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.3582821062458811,0.1439846737388834,2.0357788462350515,4.0010037408997015,23707135902.34654
6.300000000000001,0.8207499019253645,0.7186135456518052,0.10182681475716379,329471976821.6297,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.603631956479963,0.20365362951432758,1.652811154999152,3.282999607701458,27535405721.373608
6.4,0.6731455467253007,0.5937744251979741,0.15704442710290636,329780474065.66003,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,1.0538197110292296,0.31408885420581273,1.3656811779553402,2.6925821869012028,34862332813.75324
6.5,0.5545217945187715,0.5084121953965046,0.2598814665249317,330187001900.65424,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,1.9072790458914999,0.5197629330498634,1.1693480494119606,2.218087178075086,47583228101.41556
6.6000000000000005,0.4630933429142342,0.4665840427356877,0.4546595328793291,330762798186.4199,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,3.557076723198507,0.9093190657586582,1.0731432982920817,1.8523733716569368,69642041987.59695
6.7,0.3994140621682177,0.4830184157314,0.8288790235078394,331638886749.0167,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,6.764569133139528,1.6577580470156787,1.1109423561822198,1.5976562486728707,109794339060.89893
6.800000000000001,0.368420920842605,0.5917931173102304,1.5500489251718992,333089020248.8562,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,12.904729455393298,3.1000978503437984,1.36112416981353,1.47368368337042,190217297470.63657
6.9,0.3830523393726771,0.8611274968227305,2.913642720733166,335777804810.4539,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,24.03120828424852,5.827285441466332,1.9805932426922799,1.5322093574907083,374754106764.4591
7.0,0.46990654571815826,1.4107829329602355,5.339812805903018,341540202786.0396,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,41.58376716993281,10.679625611806037,3.2448007458085413,1.879626182872633,856997113575.7672
7.1000000000000005,0.6745699469581274,2.403959676720811,9.080829651402214,355640341849.58746,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,60.8667968428164,18.161659302804427,5.5291072564578645,2.6982797878325098,2178529958689.5535
7.2,1.05439195540531,3.9300541734001793,13.2585759276746,391670217933.2289,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,62.17904365380541,26.5171518553492,9.039124598820411,4.21756782162124,5475446166757.606
7.300000000000001,1.633253337476803,5.715810232177875,15.003050356947435,475169307008.8693,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,24.33130660927597,30.00610071389487,13.146363534009112,6.533013349907212,11643445144260.936
7.4,2.323703163659394,7.012527913614005,12.042724019588366,624190100331.5281,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-24.53857681466141,24.085448039176732,16.12881420131221,9.294812654637576,17467158437388.768
7.5,2.9271189282600356,7.236411513804656,6.795877293681917,798373047150.5339,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-35.58138079602254,13.591754587363834,16.643746481750707,11.708475713040142,15881508947404.258
7.6000000000000005,3.276574021936154,6.574648291760848,2.965777463621467,923446573249.0922,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-21.02096300727128,5.931554927242934,15.12169107104995,13.106296087744616,8973674624418.764
7.7,3.342279625957658,5.562561682981596,1.1612049703431,984673367292.0566,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-8.634815398687719,2.3224099406862,12.79389187085767,13.369118503830633,3821587953265.786
7.800000000000001,3.1912497304580016,4.552575876921687,0.4668644076534068,1009525194372.044,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-3.0979364680854404,0.9337288153068136,10.47092451691988,12.764998921832007,1504072320391.7466
7.9,2.9108844285635938,3.673200301366088,0.2112032741810582,1019463758051.3242,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-1.0876308549661182,0.4224065483621164,8.448360693142002,11.643537714254375,626754413228.9426
8.0,2.5716783216446295,2.9457772529136967,0.11288485249746988,1023826316611.6608,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.3783781844829175,0.22576970499493976,6.775287681701502,10.286713286578518,297220391781.6384
8.1,2.2206865645032954,2.3564351793057754,0.07256051245241874,1026044358859.7389,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.10823407513181005,0.14512102490483747,5.419800912403283,8.882746258013182,165330790876.9769
8.200000000000001,1.8858014936758778,1.8834632871650179,0.05598719572857049,1027375349515.5443,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.01585848984043914,0.11197439145714098,4.33196556047954,7.543205974703511,108471046918.2251
8.3,1.5816147539348442,1.5058995612013804,0.05119294283739723,1028316612963.4421,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.09703324393122481,0.10238588567479447,3.4635689907631746,6.326459015739377,83260239436.71336
8.4,1.3142269627915792,1.2058247984435733,0.05447184469020059,1029091616330.8582,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.18044327460013992,0.10894368938040118,2.7733970364202185,5.256907851166317,73670988311.51491
8.5,1.0846763720808228,0.9687390241778258,0.06611684904973944,1029822149882.6178,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.29945743954158216,0.13223369809947888,2.228099755608999,4.338705488323291,73854090890.05185
8.6,0.8912488901045038,0.7834767750439355,0.089760030210427,1030596437389.6885,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.49856139580858283,0.179520060420854,1.8019965826010516,3.5649955604180152,82446197232.61569
8.700000000000001,0.7310146119337055,0.6422217166604912,0.13381205908012808,1031503638792.1077,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.856881919890854,0.26762411816025616,1.4771099483191297,2.924058447734822,100900211350.82808
8.8,0.6009018666571205,0.5409914466485135,0.21541121912159122,1032661658096.7611,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,1.5279591906857486,0.43082243824318245,1.244280327291581,2.403607466628482,133668761474.5903
8.9,0.4985971617866398,0.4810956101769434,0.368772235860835,1034255068001.9469,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,2.8157364524042565,0.73754447172167,1.1065199034069697,1.9943886471465593,190167228055.81003
9.0,0.4235957220247929,0.4724720795190975,0.6617132852666117,1036608652794.4512,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,5.315504886686922,1.3234265705332233,1.086685782893924,1.6943828880991716,290560282571.38074
9.1,0.3788565242306956,0.540479878947141,1.2259328423945481,1040365845699.5475,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,10.138538679398932,2.4518656847890963,1.2431037215784242,1.5154260969227824,483200679840.9482
9.200000000000001,0.37372906946455153,0.7382302849318422,2.3028607006448496,1046998225756.0198,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,19.1073785514078,4.605721401289699,1.6979296553432368,1.4949162778582061,901094821140.1725
9.3,0.4288475670267227,1.1641759316075804,4.274200645612278,1060392622218.6862,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,34.21543733197217,8.548401291224556,2.6776046426974345,1.7153902681068909,1943679049615.6726
9.4,0.5822282124970709,1.9697105027966428,7.522603263506189,1091665962143.1969,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,54.103995529706665,15.045206527012377,4.5303341564322785,2.3289128499882836,4781357018761.612
9.5,0.8891593013164591,3.2964218160883525,11.750325002432634,1171191465100.7192,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,65.39591329715972,23.500650004865268,7.58177017700321,3.5566372052658366,12236503921260.23
9.600000000000001,1.3943345986619144,5.045734064998456,14.813031075145007,1365382854257.8271,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,42.78042817295784,29.626062150290014,11.605188349496448,5.577338394647658,28201056768931.145
9.700000000000001,2.0599541056428663,6.620590610597031,13.629583357183181,1754925000520.883,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-8.719618087476476,27.259166714366362,15.22735840437317,8.239816422571465,49271829212838.58
9.8,2.7193523821680854,7.268273196669453,8.744211827546398,2297064112172.477,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-36.153535132607516,17.488423655092795,16.71702835233974,10.877409528672342,54620953223349.78
9.9,3.1747359191337474,6.882448956850236,4.14620264666271,2763757273158.453,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-27.14975109054849,8.29240529332542,15.829632600755541,12.69894367653499,36379609134779.13
10.0,3.3427763832668527,5.949574739462757,1.6658571638999844,3022831599637.124,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-12.391836391954023,3.331714327799969,13.684021900764339,13.37110553306741,16832903727568.613
